,ques,ans,ans2
380,生涯に93回も引越しを繰り返したといわれる、『富嶽三十六景』で知られる江戸時代の浮世絵師は誰でしょう？,葛飾北斎,かつしかほくさい
381,ピーチリキュールを烏龍茶で割って作る、仙台市が発祥とされるカクテルは何でしょう？,レゲエパンチ,レゲエパンチ
382,天球上の太陽の見かけ上の通り道のことを、ある色名を使って何というでしょう？,黄道,こうどう
383,「アフリカの角」と呼ばれる地域を領域とする、首都をモガディシュに置く国はどこでしょう？,ソマリア連邦共和国,ソマリア
384,モンゴメリの小説『赤毛のアン』の舞台として知られるカナダの島は何島でしょう？,プリンス・エドワード島,プリンスエドワード
385,一般には酢と醤油、みりんを混ぜ合わせて作られることが多い、酢の物などに用いられる甘みのある合わせ酢のことを何というでしょう？,三杯酢,さんばいず
386,俗名を「持豊」といった、応仁の乱で西軍の実質的な大将として細川勝元らと対立した守護大名は誰でしょう？,山名宗全,やまなそうぜん
387,1943年に『花咲く港』で監督デビューを果たした、代表作に『喜びも悲しみも幾歳月』や日本初の長編カラー映画『カルメン故郷に帰る』などがある日本の映画監督は誰でしょう？,木下惠介,きのしたけいすけ
388,「財布を落とした」といった嘘で他人の善意に付け込み、金銭を借りると称してそのまま騙し取る手口の詐欺を、「ちょっと借りること」を意味する熟語を用いて何詐欺というでしょう？,寸借詐欺,すんしゃく
389,タンパク質を含む物質に濃硝酸を加えて加熱すると黄色く色が変わる反応のことを、「黄色いタンパク質」という意味の合成語から何反応というでしょう？,キサントプロテイン反応,キサントプロテイン
390,1973年にシングル『かくれんぼ』でアイドル歌手としてデビューした、『天城越え』『津軽海峡・冬景色』などの代表曲がある演歌歌手は誰でしょう？,石川さゆり,いしかわさゆり
391,律令時代の日本の租税制度「租庸調」のうち、労役の代わりに米や布などを納める税として定められたのは何でしょう？,庸,よう
392,1980年前後から顕著になった、発展途上国同士の間で経済格差が広がった問題のことを、ある方角の漢字を2回使って何問題というでしょう？,南南問題,なんなん
393,2015年に新政治民主連合から現在の党名に改称された、韓国の文在寅政権の与党である政党を日本語では何と呼ぶでしょう？,共に民主党,ともにみんしゅとう
394,日本では「人絹」とも呼ばれる、セルロースを溶解してから紡糸する再生繊維を、「光るもの」といった意味のフランス語から何というでしょう？,レーヨン,レーヨン
395,人間の心臓にある4つの部屋のうち、全身へ動脈血を送り出すのはどれでしょう？,左心室,さしんしつ
396,エミール・ベルナールに自然を円筒、球、円錐によって捉えよと教えた、代表作に『カード遊びをする人々』や『大水浴図』がある、「近代絵画の父」とも称されるフランスの画家は誰でしょう？,ポール・セザンヌ,セザンヌ
397,冬季オリンピックの正式種目で、歴代日本代表選手全員が自衛隊所属である、クロスカントリースキーとライフル射撃を組み合わせた競技は何でしょう？,バイアスロン,バイアスロン
398,小さな違いはあるが、大体が同じであるということを、漢字の「大」と「小」を使った四字熟語で何というでしょう？,大同小異,だいどうしょうい
399,テニスコートの種類の1つで、四大大会では全豪オープンや全米オープンで使用されている、セメントやアスファルトなどをベースとして合成樹脂などで覆ったコートを一般に何コートというでしょう？,ハードコート,ハード
400,その形から「薩摩富士」という別名を持つ、鹿児島県の薩摩半島南部に位置する標高924mの山は何でしょう？,開聞岳,かいもんだけ
401,ラウンド型、バレット型、矢じり型などに分類される、魚釣りで用いる針とオモリが一体化したルアーの一種を何というでしょう？,ジグヘッド,ジグヘッド
402,ジョゼフ・シュトラウスの設計で1937年に完成し、2本の主塔の間の長さが1280mと当時世界一の長さであった、アメリカ・サンフランシスコ湾の入り口に架かる橋を英語で何ブリッジというでしょう？,ゴールデン・ゲート・ブリッジ,ゴールデンゲート
403,「ホレブ山」とも呼ばれる、『旧約聖書』においてモーセが神から十戒を授かった場所として登場する山の名前は何山でしょう？,シナイ山,シナイ
404,1964年の東京オリンピックで新たに追加された競技は、バレーボールと何でしょう？,柔道,じゅうどう
405,青葉区、旭区、鶴見区など18区からなる、日本の政令指定都市はどこでしょう？,横浜市,よこはま
406,現在、日本の町村が市に移行するために必要な人口は原則何万人でしょう？,5万人,5
407,『雪山讃歌』の作詞者である、第一次南極観測隊の越冬隊長を務めた日本の登山家・無機化学者は誰でしょう？,西堀栄三郎,にしぼりえいざぶろう
408,1988年のソウルオリンピック陸上男子100m走で9秒79の世界記録を出して優勝するも、ドーピング検査で陽性となり金メダルを剥奪された、ジャマイカ出身でカナダ国籍の元陸上選手は誰でしょう？,ベン・ジョンソン,ベンジョンソン
409,別名「ビロードアオイ」とも呼ばれるアオイ科の植物で、英語名を「マーシュマロウ」といい、かつてその根からとれるデンプンがお菓子のマシュマロの原料となっていたのは何でしょう？,ウスベニタチアオイ,ウスベニタチアオイ
410,日本の国税庁の税務方針において、ビットコインを代表とする仮想通貨の取引で得た利益は原則「何所得」に区分されるでしょう？,雑所得,ざつ
411,持つと安心するために大切に持ち続けて手放さないもののことを、漫画『ピーナッツ』の登場人物の名前を使って「何の毛布」というでしょう？,ライナスの毛布,ライナス
412,チュニジアで起きたジャスミン革命を発端として、北アフリカや中東の国々で連鎖的に発生した大規模な反政府デモのことを総称して何というでしょう？,アラブの春,アラブのはる
413,福島県を大きく3地方に分けると、浜通り、中通りと、あと1つは何でしょう？,会津,あいづ
414,フィックス窓ともいう、主に採光を目的とした開閉のできない窓のことを日本語で何というでしょう？,はめ殺し,はめごろし
415,JIS規格において、トイレットペーパーの紙幅は原則何mmと規定されているでしょう？,114mm,114
416,1169年にサラーフ・アッディーンが建国した、エジプトやシリアを中心に支配したイスラム王朝は何朝でしょう？,アイユーブ朝,アイユーブ
417,高村光太郎の彫刻『乙女の像』が建っていることで知られる、日本の東北地方にある湖はどこでしょう？,十和田湖,とわだこ
418,1960年に新潟市の喫茶店「みかづき」が初めて売り出した、太麺とキャベツ、もやしなどを炒めその上に特製のトマトソースをかけた、新潟県のご当地グルメとして知られるメニューは何でしょう？,イタリアン,イタリアン
419,その家元が千宗室、茶室が今日庵という名で呼ばれる、茶道の「三千家」に数えられる流派の1つは何千家でしょう？,裏千家,うら
420,アメリカで大統領と副大統領がともに執務不能になった場合、大統領の職務を継承するのはどの役職の人物と定められているでしょう？,下院議長,かいんぎちょう
421,その家元が千宗守、茶室が官休庵という名で呼ばれる、茶道の「三千家」に数えられる流派の1つは何千家でしょう？,武者小路千家,むしゃこうじ
422,女優の若尾文子を妻に持ち、2007年には共生新党を設立して東京都知事選挙に立候補した、沖縄県庁舎や国立新美術館を設計した建築家は誰でしょう？,黒川紀章,くろかわきしょう
423,日本で、地図記号の二重丸は市役所を表しますが、天気記号の二重丸は何を表すでしょう？,曇り,くもり
424,その名はドイツ語で「木」という意味の言葉に由来し、スイスの心理学者カール・コッホによって考案された、被験者に樹木の絵を描かせることによって心理を読み取る投影検査法のことを何テストというでしょう？,バウムテスト,バウムテスト
425,別名「フローライト」ともいい、加熱したりブラックライトを当てたりすることで光を放つ性質を持つものがある、フッ化カルシウムを主成分とする鉱物を日本語で一般に何と呼ぶでしょう？,蛍石,ほたるいし
426,秦の始皇帝が万里の長城を築いたのはこれの侵入を防ぐためであった、紀元前4世紀頃から約千年にわたってモンゴル高原を支配し、たびたび中国に侵略を繰り返した遊牧騎馬民族は何でしょう？,匈奴,きょうど
427,鎌倉幕府の第8代執権として、文永・弘安の2度の元寇の対応にあたった人物は誰でしょう？,北条時宗,ほうじょうときむね
428,作詞家のジョニー・マーサーとのタッグで、映画『ティファニーで朝食を』の挿入歌『ムーンリバー』や、『酒とバラの日々』のテーマソングを作曲したアメリカの映画音楽家は誰でしょう？,ヘンリー・マンシーニ,マンシーニ
429,チャールズ・ディケンズの小説『二都物語』の「二都」とは、パリと何という都市のことでしょう？,ロンドン,ロンドン
430,朝刊一面にコラム「春秋」を掲載している全国紙は何新聞でしょう？,日本経済新聞,にほんけいざい
431,西暦の紀元後を表す「A.D.」とは、何というラテン語の略でしょう？,アンノドミニ,アンノドミニ
432,ギリシャ語で「すべての海」という意味がある、ウェゲナーが提唱した大陸移動説で、超大陸パンゲアを取り囲んでいたとされる唯一の大洋を何というでしょう？,パンサラッサ,パンサラッサ
433,世界最南端の温泉がある島として観光スポットにもなっている、南極海にある火山島は何島でしょう？,デセプション島,デセプション
434,サカツラガンやハイイロガンを原種とし、古代より人間が改良してきた家禽で、主に食肉用や羽毛用、フォアグラ用などとして飼育されるカモ科の鳥は何でしょう？,ガチョウ,ガチョウ
435,アフリカ大陸で17ヶ国が独立し、俗に「アフリカの年」と称された年は西暦何年でしょう？,1960年,1960
436,「株価収益率」とも呼ばれる、株価を1株あたりの当期純利益で割って算出される株価の割安性を示す指標を、アルファベット3文字で何というでしょう？,PER,PER
437,アルバニアはティラナを首都とする国ですが、アルメニアはどこを首都とする国でしょう？,エレバン,エレバン
438,フランス語で「午前中」といった意味がある、演劇や音楽会における昼間の興行のことを指す言葉は何でしょう？,マチネ,マチネ
439,「讃岐うどん」は香川県の特産品ですが、「稲庭うどん」は何県の特産品でしょう？,秋田県,あきた
440,1997年に「詩のボクシング」で初代チャンピオンに輝くなど詩人としても活動する、第101回直木賞を受賞した小説『高円寺純情商店街』などの著作がある小説家は誰でしょう？,ねじめ正一,ねじめしょういち
441,愛称を「イーグル」という、マクドネル・ダグラス社が開発したアメリカ空軍や航空自衛隊に配備されている戦闘機は何でしょう？,F-15,F15
442,「ホッケーの殿堂」がある、カナダ・オンタリオ州の州都はどこでしょう？,トロント,トロント
443,体内性のモルヒネを意味する「endogenous morphine」に由来する、脊椎動物の神経細胞中に含まれモルヒネのような作用を持つ生体内ポリペプチドの総称は何でしょう？,エンドルフィン,エンドルフィン
444,ボクシングで目潰しをする反則のことを、主にグローブの親指部分が使われることから英語で何というでしょう？,サミング,サミング
445,自ら「声帯模写」と名付けたモノマネ芸や漫談、徳川夢声らと結成した劇団「笑の王国」での喜劇などで人気を博し、エノケンこと榎本健一とともに昭和初期の東京喜劇界で人気を二分していたコメディアンは誰でしょう？,古川ロッパ,ふるかわロッパ
446,販売当初の入れ物だった香水の空き瓶の形を現在も留めている、穀物酢、岩塩、唐辛子を原料とする、アメリカ・ルイジアナ州発祥の調味料は何でしょう？,タバスコ,タバスコ
447,俳句で「山笑う」はどの季節の季語でしょう？,春,はる
448,登場人物にとっては重要だが作劇上においては重要でない、泥棒が狙う「宝石」やスパイが狙う「書類」などのことを、アルフレッド・ヒッチコックが自身の映画を説明する時に使った言葉で何と呼ぶでしょう？,マクガフィン,マクガフィン
449,公開入札によるオークションのうち、売り手が最高価格を設定し、買い手が付くまで値段を下げていくもののことを、ある国の市場で導入されていたことにちなんで何・オークションというでしょう？,ダッチ・オークション,ダッチ
450,民族舞踊で、ポロネーズやマズルカといえばどこの国の発祥でしょう？,ポーランド共和国,ポーランド
451,脚本家としては「万福寺百合」「川崎高」といった名義も用いていた、特撮番組『ウルトラマン』の演出や、映画『曼荼羅』『帝都物語』などの監督を務めた人物は誰でしょう？,実相寺昭雄,じっそうじあきお
452,現時点では富士山最後の噴火である1707年の大噴火を、当時の元号をとって「何の大噴火」というでしょう？,宝永の大噴火,ほうえい
453,1950年に札幌から海水浴に来ていた中学生により発見され、1953年に国の史跡に指定された、人や動物の絵が彫られた岩壁や続縄文式土器などが見つかっている北海道余市町の洞窟遺跡を何洞窟というでしょう？,フゴッペ洞窟,フゴッペ
454,「グレる」という言葉の語源となったとされる、三重県桑名市で獲れるものが有名な二枚貝は何でしょう？,ハマグリ,ハマグリ
455,映画『レザボア・ドッグス』『パルプ・フィクション』『キル・ビル』の監督として知られるアメリカの映画監督は誰でしょう？,クエンティン・タランティーノ,タランティーノ
456,気象学者エドワード・ローレンツの講演の題名に由来する、ほんの些細なことを引き金として徐々に大きな現象に繋がるという現象を比喩的に「何効果」というでしょう？,バタフライ効果,バタフライ
457,ゼウスとの間にミノス、ラダマンテュス、サルペドンという3人の息子を産んだことや、「ヨーロッパ」の語源となったことで知られる、ギリシャ神話に登場するフェニキアの王女は誰でしょう？,エウロペ,エウロペ
458,日本の司法試験の必修科目となっている「七法」とは、いわゆる「六法」に何を加えたものでしょう？,行政法,ぎょうせいほう
459,「劇団東京乾電池」の座長を務める俳優で、同じく俳優として活躍する「佑」と「時生」の父親にあたる人物は誰でしょう？,柄本明,えもとあきら
460,日本神話で、ヤマタノオロチの人身御供となる寸前にスサノオノミコトに助けられ、彼の妃となった女神の名前は何でしょう？,クシナダヒメ,クシナダヒメ
461,アラブ首長国連邦を構成している首長国の数はいくつでしょう？,7つ,7
462,北九州市は福岡県にある自治体ですが、南九州市はどこの都道府県にある自治体でしょう？,鹿児島県,かごしま
463,「あそびましょ。」を企業スローガンとし、「BLACK」「ガツン、と」「ガリガリ君」などのブランドのアイスを販売している、埼玉県深谷市に本社を置く会社は何でしょう？,赤城乳業,あかぎにゅうぎょう
464,考案者は佐藤市兵衛だと伝えられている、「日本三大うどん」の1つに数えられることもある秋田県名物のうどんを、その発祥地から「何うどん」というでしょう？,稲庭うどん,いなにわうどん
465,エニセイ川の支流にあたる、バイカル湖から流れ出る唯一の川は何でしょう？,アンガラ川,アンガラ
466,その名はペルシャ語で「王書」を意味する、フーシャング、ジャムシード、ザッハークなど歴代の50人の王の治世について書かれた、中世ペルシャの詩人フィルドゥシーによるイランの民族叙事詩は何でしょう？,『シャー・ナーメ』,シャーナーメ
467,1926年にユンカース空輸とドイツ・エアロの合併により誕生し、ドイツ語で「空の同盟」を意味する社名がつけられた、ドイツ最大手の航空会社を一般に何と呼ぶでしょう？,ルフトハンザ,ルフトハンザ
468,客のテーブルに具材を串ごと運び、客が望む量をその場で切り分けるという供し方が特徴的である、鉄串に肉を刺し荒塩をふって炭火で焼くブラジル発祥の料理を、日本では一般に何と呼ぶでしょう？,シュラスコ,シュラスコ
469,住宅地など生活道路密集区域全体に速度制限を設けて歩行者や住民の安全を守る、2011年に警察庁が通達を出し、指定・整備を進めている交通施策を、その制限速度となる数値を使って何というでしょう？,ゾーン30,ゾーン30
470,テレビ番組『世界の果てまでイッテQ！』ではナレーションを務めている、アニメ『銀魂』の長谷川泰三役や『新世紀エヴァンゲリオン』の碇ゲンドウ役などで知られる大沢事務所所属の声優は誰でしょう？,立木文彦,たちきふみひこ
471,日本語では「文民統制」という、文民の政治家が軍隊の指揮権を持つ、民主主義における基本原則を英語で何というでしょう？,シビリアン・コントロール,シビリアンコントロール
472,職業指揮者の先駆けとしても知られるドイツの指揮者兼ピアニストで、バッハ、ベートーベン、ブラームスの3人を総称して「ドイツ3B」と名付けたことでも知られるのは誰でしょう？,ハンス・フォン・ビューロー,ビューロー
473,日本人の大石和三郎が発見したものの、論文をエスペラントで執筆したため長期間知られることがなかった、対流圏上層にある高速の偏西風の流れを一般に何気流というでしょう？,ジェット気流,ジェット
474,JRの前身である「日本国有鉄道」の略称をアルファベット3文字で何というでしょう？,JNR,JNR
475,大阪市の日本橋は道頓堀川に架かる橋ですが、東京・中央区の日本橋は何川に架かる橋でしょう？,日本橋川,にほんばし
476,いわゆる「五臓六腑」の「五臓」とは、心・肝・脾・腎とあと1つは何でしょう？,肺,はい
477,元々は四季の事物や年中行事をまとめた書物のことを指した、季語を集めて分類した書物のことを何というでしょう？,歳時記,さいじき
478,デンマークとノルウェーで現在共通して使われている通貨単位の名前は何でしょう？,クローネ,クローネ
479,2017年に星野仙一とともに野球殿堂エキスパート部門に選出された往年の野球選手で、「カミソリシュート」を武器に横浜大洋ホエールズで活躍した投手は誰でしょう？,平松政次,ひらまつまさじ
480,歌舞伎で、宙乗りや早替わりといった観客の意表を突くことを狙った演出のことを、「外」を使った漢字2文字で何というでしょう？,外連,けれん
481,日本の数の単位で「兆」の1億倍を表す単位は何でしょう？,垓,がい
482,本格ミステリ作家クラブの初代会長を務めた、『双頭の悪魔』などの「江神二郎シリーズ」や『乱鴉の島』などの「火村英生シリーズ」で知られる人気推理作家といえば誰でしょう？,有栖川有栖,ありすがわありす
483,家計の消費支出に占める養育費の割合のことを、食費の割合を示したエンゲル係数をもじって何係数というでしょう？,エンジェル係数,エンジェル
484,1924年と1928年のオリンピックで5個の金メダルを獲得したアメリカの元水球・水泳選手で、引退後は俳優に転身し、映画『ターザン』シリーズの12作品でターザン役を演じ人気を博した人物は誰でしょう？,ジョニー・ワイズミュラー,ワイズミュラー
485,1915年に天文学者ロバート・イネスが発見した、ケンタウルス座の方向に約4.2光年離れた位置にある、太陽に最も近い恒星は何でしょう？,プロキシマ・ケンタウリ,プロキシマケンタウリ
486,長篠の戦いで織田信長・徳川家康の連合軍に敗れた、父に信玄を持つ戦国大名は誰でしょう？,武田勝頼,たけだかつより
487,スウェーデン語で「重い石」という意味がある、原子番号74、元素記号Wの元素は何でしょう？,タングステン,タングステン
488,太宰治の小説『走れメロス』の舞台となった町のモデルで、古代ギリシャの数学者・アルキメデスの出身地としても有名な、イタリア・シチリア島南東部の都市はどこでしょう？,シラクサ,シラクサ
489,南米の国・ボリビアの国名の由来となった、南米大陸5ヶ国の独立に寄与したベネズエラ出身の革命家は誰でしょう？,シモン・ボリバル,ボリバル
490,インド古代王朝マウリヤ朝の第3代の王で、漢訳音写で「阿育」と書かれる人物は誰でしょう？,アショーカ,アショーカ
491,特にイスラム法に則った材料や処理手順が用いられた食品のことを指す、イスラム教で認められていることを意味するアラビア語の言葉は何でしょう？,ハラール,ハラール
492,サラリーマンの服装でロボットダンスをするパフォーマンスが特徴的な、元格闘家の須藤元気がプロデュースするダンスパフォーマンスグループは何でしょう？,WORLD ORDER,ワールドオーダー
493,元々は絵本『ワニのゲーナ』シリーズの脇役で、その名前はロシア語で「ばったり倒れ屋さん」という意味である、ロシアの児童文学作家のウスペンスキーが生み出した人気キャラクターは何でしょう？,チェブラーシカ,チェブラーシカ
494,『ピノキオ』の原作である童話『ピノッキオの冒険』の作者として知られるイタリアの児童文学作家は誰でしょう？,カルロ・コッローディ,コッローディ
495,イタリアの考古学者ルイジ・ペルニエルによりクレタ島で発見された、ひも状の粘土を巻いて作った円形の粘土板の両面に未解読の絵文字が45種類記されている遺物を、発見された宮殿がある都市の名をとって何というでしょう？,ファイストスの円盤,ファイストスのえんばん
496,慣用句の「百も承知」に続く言葉といえば何でしょう？,二百も合点,にひゃくもがってん
497,グレゴリウス13世が夏の住まいとして使い始めて以降、19世紀まで歴代ローマ教皇の住居とされてきた建物で、現在はイタリア大統領の官邸となっているのは何宮殿でしょう？,クイリナーレ宮殿,クイリナーレ
498,作曲家のカーマイン、映画監督のロマン、ソフィア、フランシス・フォードなど、多数の映画・音楽関係者を輩出したイタリア系アメリカ人一族の姓は何でしょう？,コッポラ,コッポラ
499,ゴルフクラブの「サンドウェッジ」を考案したことで知られる、1935年に史上初のキャリア・グランドスラムを達成したアメリカの男子プロゴルファーは誰でしょう？,ジーン・サラゼン,サラゼン
500,1543年、領内に漂着したポルトガル人から鉄砲を購入し、家臣に命じて日本初の国産の銃を製造させた、種子島氏の第14代当主は誰でしょう？,種子島時尭,たねがしまときたか
501,1964年に国際空手道連盟極真会館を創設した、梶原一騎原作の漫画『空手バカ一代』の主人公のモデルにもなった往年の空手家は誰でしょう？,大山倍達,おおやまますたつ
502,ニュートンとは独立に微積分法を確立したとされるドイツの哲学者・数学者で、現在一般に用いられている微分の記法や積分記号を提唱した人物は誰でしょう？,ゴットフリート・ライプニッツ,ライプニッツ
503,第1回夏季大会はパリ、第1回冬季大会はゼーフェルトで開催された、4年に1度行われる、聴覚障がい者のための国際的なスポーツ大会は何でしょう？,デフリンピック,デフリンピック
504,「安全第一」という言葉の元である「安全第一・品質第二・生産第三」の標語を作ったことでも知られ、アメリカのインディアナ州にある工業都市にその名が冠されている、USスチール社の第2代社長を務めた人物は誰でしょう？,エルバート・ヘンリー・ゲーリー,ゲーリー
505,1926年の皇室儀制令の制定により式次第が定められて現在の名称となった、毎年1月に宮中で行われている、天皇皇后両陛下の前で皇族の詠んだ和歌や詠進歌を披露する行事を何というでしょう？,歌会始,うたかいはじめ
506,最終幕に使われる『剣の舞』の曲が特に有名である、ソビエト連邦の作曲家ハチャトゥリアンが作曲したバレエ組曲を、日本ではそのフランス語読みで一般に何と呼ぶでしょう？,『ガイーヌ』,ガイーヌ
507,キューバの歌手マルガリータ・レクオーナが作曲したラテン音楽で、日本ではペレス・プラード楽団が演奏したバージョンが、加藤茶がストリップを真似て「ちょっとだけよ」というギャグをする時に流れるBGMとして知られているのは何でしょう？,『Taboo』,タブー
508,第二次世界大戦後、アメリカが占領地の疾病・飢餓を防いで社会不安を除くために軍事予算から拠出した「占領地域統治救済資金」をその略称から何資金というでしょう？,ガリオア資金,ガリオア
509,日本で「道化師」を指す「ピエロ」は、何語に由来する言葉でしょう？,フランス語,フランス
510,キュウリやフキなどの青物に鮮やかな色を出すため、塩をまぶし、まな板に押し付けながら転がすことを何というでしょう？,板摺り,いたずり
511,古生代の時代区分・デボン紀の由来となった「デヴォン州」がある国はどこでしょう？,イギリス,イギリス
512,1970年にアメリカで制定された、車の排気ガス規制やフロン全廃などを定めた法律を、その提案者である当時の上院議員の名から通称何法というでしょう？,マスキー法,マスキー
513,「洗車し始めると雨が降る」など失敗に関するユーモラスな経験則をまとめたものを、アメリカ軍のエンジニアだった人物の名前から「何の法則」というでしょう？,マーフィーの法則,マーフィー
514,第1次松方正義内閣では農商務大臣を務めた政治家・実業家で、西南戦争の際に現在の日本赤十字社の前身・博愛社を創設したのは誰でしょう？,佐野常民,さのつねたみ
515,童謡『赤鼻のトナカイ』の原曲である英語曲のタイトルや歌詞に登場する、赤い鼻のトナカイの名前は何でしょう？,ルドルフ,ルドルフ
516,ヴェルディ作曲のオペラ『アイーダ』に登場するアイーダは、元々どこの国の王女だったでしょう？,エチオピア,エチオピア
517,手稲区、厚別区、豊平区など10の区からなる日本の政令指定都市はどこでしょう？,札幌市,さっぽろ
518,仕事に使う「OA機器」などの「OA」とは何という言葉の略でしょう？,オフィス・オートメーション,オフィスオートメーション
519,近代五種競技で行われる競技は、馬術、水泳、射撃、ランニングと、あと1つは何でしょう？,フェンシング,フェンシング
520,「熊野三山」と呼ばれる3つの神社で、「本宮」と呼ばれるのは熊野本宮大社ですが、「新宮」と呼ばれるのは熊野何大社でしょう？,熊野速玉大社,はやたま
521,フランスの作家フランソワーズ・サガンが18歳の時に発表した、母を亡くした少女セシルを主人公とする1954年出版の小説の邦題は何でしょう？,『悲しみよこんにちは』,かなしみよこんにちは
522,1951年に『イエスの裔』で第26回直木賞を受賞した、『御家人斬九郎』や『眠狂四郎』などの時代小説で知られる作家は誰でしょう？,柴田錬三郎,しばたれんざぶろう
523,ぐっすり眠っていて何も気づかないことや、知ったかぶりのたとえに使われる、京都の地名を使った四字熟語は何でしょう？,白河夜船,しらかわよふね
524,現在は東京の「船の科学館」で保存・展示されている、1956年から日本初の南極観測船として用いられた砕氷船の名前は何でしょう？,宗谷,そうや
525,主にインド南部やスリランカで話されている、テルグ語、カンナダ語、タミル語などが属する言語のグループを何語族というでしょう？,ドラヴィダ語族,ドラヴィダ
526,「津軽丸」「大雪丸」「洞爺丸」といった船があった、かつて青森と函館とを結んでいた鉄道連絡船のことを総称して一般に何といったでしょう？,青函連絡船,せいかんれんらくせん
527,日本の伝統芸能の1つ「人形浄瑠璃」において、語りを担当する人のことを何というでしょう？,太夫,たゆう
528,元々は古代ローマの住宅などで見られた中庭を指した言葉で、現代ではホテルや商業施設などのビルに設けられる、主に屋根がガラスなどでできていて日の光が差し込むようになっている吹き抜け空間のことを指すのは何でしょう？,アトリウム,アトリウム
529,その名は周囲にチベット人の村が9つあったことに由来し、青く透き通った水の湖沼群やジャイアントパンダの生息地などがあることで知られる、中国・四川省にあるユネスコ世界自然遺産の渓谷を何というでしょう？,九寨溝,きゅうさいこう
530,ヒトの網膜にある2種類の視覚細胞のうち、感度が高いが色覚に劣る、暗所で主に機能する細胞を何細胞というでしょう？,桿体細胞／杆体細胞,かんたい
531,一般的な12星座占いで、元日が誕生日の人は何座になるでしょう？,山羊座,やぎ
532,ベートーベンの曲『ピアノソナタ第14番』のことを、ドイツの詩人・レルシュタープがこの曲に寄せたコメントに由来する通称で何というでしょう？,『月光』,げっこう
533,その名はアイヌ語で「滝の川」という意味がある、主な出身者に元横綱の北の湖がいることや、雪合戦発祥地として有名な北海道の町は何町でしょう？,壮瞥町,そうべつ
534,第2次大戦後のいわゆる「東京裁判」の裁判長ウィリアム・ウェッブの出身国はどこでしょう？,オーストラリア,オーストラリア
535,全天88星座のラテン名をアルファベット順に並べた時に最後にくる、夏の大三角のおおむね内側に位置する星座は何座でしょう？,こぎつね座,こぎつね
536,「惑星は太陽を焦点の1つとする楕円軌道上を動く」という第1法則など、惑星運動に関する3つの法則を定式化したドイツの天文学者は誰でしょう？,ヨハネス・ケプラー,ケプラー
537,楽器の箏や和琴で、音の高低を調整するために胴の上に立てて弦を支える道具を何というでしょう？,琴柱,ことじ
538,日本の祝日法で唯一日付が「政令で定める日」とされている、毎年2月にある国民の祝日は何でしょう？,建国記念の日,けんこくきねんのひ
539,アニメ『新世紀エヴァンゲリオン』で、ファーストチルドレンと呼ばれるEVA零号機のパイロットは誰でしょう？,綾波レイ,あやなみレイ
540,俗に「平幕」とも呼ばれる、大相撲の番付で十両と小結の間に位置する地位は何でしょう？,前頭,まえがしら
541,前に失敗した人と同じ過ちを繰り返してしまうことを、前の車が走った車輪の跡にはまり込んで転倒する様子にたとえて「前車の何を踏む」というでしょう？,前車の轍を踏む,てつ
542,ドイツの細菌学者ペトリが発明した、細菌の培養などに用いられる平らなガラス容器を、「殻」といった意味のドイツ語で何というでしょう？,シャーレ,シャーレ
543,開拓当初は「フォートオレンジ」や「ベヴェウィク」などと呼ばれ、のちにイギリス国王ジェームズ2世の爵位名にちなんで現在の名称となった、ハドソン川の中流にあるアメリカ・ニューヨーク州の州都はどこでしょう？,オールバニ,オールバニ
544,「弘法にも筆の誤り」と同じ意味のことわざで、「飛び損ない」をするといわれるのは何でしょう？,天狗,てんぐ
545,大相撲で十両以上の力士が所有できる、化粧廻しや浴衣などの身の回りの品を入れて持ち運ぶ箱を何というでしょう？,明荷,あけに
546,元々は明治時代に殺人事件の犯人として逮捕された池田亀太郎という男のあだ名であった、現在では窃視趣味を指して用いられる言葉といえば何でしょう？,出歯亀,でばがめ
547,ダイヤモンドの評価基準の「4C」とは、カラー、カット、カラットと何でしょう？,クラリティ,クラリティ
548,現在は日本奇術協会の相談役も務めている、ひょうひょうとした茨城弁で漫談をしながらマジックを披露する芸で知られるコメディマジシャンは誰でしょう？,マギー司郎,マギーしろう
549,エヴェン語で「不凍の水」という意味がある、1926年に北半球最低気温である摂氏-71.2度を記録したことから「世界で最も寒い定住地」として知られる、ロシア・サハ共和国の村は何でしょう？,オイミャコン,オイミャコン
550,フィギュアスケートのスピンのうち、キャメルスピン以外の膝を伸ばした状態で回転するものを総称して「何スピン」というでしょう？,アップライトスピン,アップライト
551,火の気のある灰の中へ水や湯をこぼした時に、灰が吹き上がる現象のことを漢字3文字の言葉で何というでしょう？,灰神楽,はいかぐら
552,飛行機や船で、乗務員が食事の準備や調理をする場所のことを英語で何というでしょう？,ギャレー,ギャレー
553,アメリカの二大SF賞である「ネビュラ賞」と「ヒューゴー賞」を同時受賞することを一般に何というでしょう？,ダブル・クラウン,ダブルクラウン
554,ロシア民謡『一週間』の日本語詞で、「おしゃべりばかり」と歌われているのは何曜日でしょう？,土曜日,ど
555,日本の国立大学で本部を京都府に置く3校とは、京都大学、京都教育大学と何大学でしょう？,京都工芸繊維大学,きょうとこうげいせんい
556,1973年にシングル『あなたに夢中』でデビューし、『年下の男の子』『ハートのエースが出てこない』『春一番』などのヒット曲で国民的人気を博した、伊藤蘭、田中好子、藤村美樹の3人からなっていた女性アイドルグループは何でしょう？,キャンディーズ,キャンディーズ
