,ques,ans
1399,17世紀のフランスのアマチュア数学者・弁護士で、数学書の余白に48の命題を書き遺し、その中でも360年もの間、解かれなかった１つが彼の「最終定理」と言われていたことで知られる人物は誰でしょう？,ニベア
1400,ドイツのバイヤスドルフ社が展開する化粧品ブランドで、ラテン語の「雪のように白い」という意味の言葉に由来する、その名を冠したクリームで知られるブランドは何でしょう？,渥美清（あつみきよし）
1401,映画『男はつらいよ』シリーズで寅さんの役を長年演じ、没後は国民栄誉賞を贈られた日本の俳優といえば誰でしょう？,ドラゴン桜（どらごんざくら）
1402, 龍山高校を舞台とした平均偏差値36の高校生たちを東京大学へ合格させるまでのストーリーを書いた、三田紀房原作の漫画のタイトルは何でしょう？,梅毒（ばいどく）
1403, 症状にみられる赤い発疹がヤマモモに似ていることから、ヤマモモの漢名である「楊梅」にちなんで名付けられたとされる、トレポネーマと呼ばれる細菌類の一種が病原体となって生じる性感染症は何でしょう？,竜田揚げ（たつたあげ）
1404, その名は奈良県を流れる紅葉の名所の川に由来する、鶏や魚などの肉に下味をつけ、片栗粉をまぶして油で揚げた料理のことを何揚げというでしょう,B9  キューバ危機（きゅーばきき）
1405, 1962年に米ソの緊張が高まり全面核戦争寸前までいった危機的状況のこと、緊張の原因となった核ミサイル基地が建設された国の名前から何危機というでしょう？,イラン・イスラム共和国
1406, その国名は「アーリア人の国」という意味を持ち、シーア派イスラムが国教となっている、首都をテヘランに置く国はどこでしょう？,フィラメント
1407,かつては竹が使われ、現在は主にタングステンが使われる、白熱電球における発光部分のことを、「細糸」といった意味の英語で何というでしょう？（50%）<br, マサオ
1408, アニメ『クレヨンしんちゃん』に登場する男の子で名字は「佐藤」という、丸顔に坊主頭が特徴的なしんのすけの友達の名前は何でしょう？,シーア派（しーあは）
1409, イスラム教の開祖ムハンマドの従兄弟アリーとその子孫のみにイスラム共同体を指導する権利があると主張するイスラム教の一派を何派というでしょう？,佃煮（つくだに）
1410, その名前は、江戸時代に大坂から移り住んできた漁民が暮らしていた東京都中央区の島の名前が由来とされる、当時保存食としてよく用いられた、魚介類などを甘辛く煮た加工食品を「何煮」というでしょう？,発破をかける（はっぱをかける）
1411, 鉱山などで爆薬を使って岩などを爆破することを意味する言葉から転じて、気合を入れる、激励するという意味になった言葉は「何をかける」でしょう？, ナガシマスパーランド
1412, 4項目のギネス世界記録を持つ「スチールドラゴン2000」や2018年に運行終了した木製コースター「ホワイトサイクロン」など、数多くの絶叫マシンで有名な、三重県桑名市にある遊園地は何でしょう？,ヒャダイン
1413, ゲーム『ドラゴンクエスト』シリーズの呪文に由来する、音楽プロデューサーの前山田健一が歌手・タレント活動時などに用いている名義は何でしょう？,アクネ
1414,<strong> </strong>肌の手入れを「スキンケア」といいますが、特にニキビに関する手入れのことを「ニキビ」を意味する英語を使って何ケアというでしょう？,アントワーヌ・ド・サン＝テグジュペリ
1415, 読者からは「サンテックス」の愛称で親しまれた人物で、代表作に『夜間飛行』『星の王子さま』があるフランスの小説家は誰でしょう？,提督（ていとく）
1416, ゲーム『艦隊これくしょん -艦これ-』ではプレイヤーを指す、艦隊の総司令官の呼称は何でしょう？,早稲田実業学校高等部（わせだじつぎょうがっこうこうとうぶ）
1417, 卒業生に王貞治、斎藤佑樹、清宮幸太郎などがいる、全国高等学校野球選手権大会で2度の優勝を誇る野球の強豪校として知られる東京都の私立高校はどこでしょう？,いかめし
1418, JR函館本線・森駅で駅弁として売られていることでも知られる、ある魚介類に米を入れて炊き込んだ北海道渡島地方の郷土料理は何でしょう？,徳川綱吉（とくがわつなよし）
1419, 館林藩主から将軍に就任した、服忌令や生類憐れみの令を発令した徳川家第5代将軍は誰でしょう？,エクステリア
1420, 英語で、建物の内装・内観を「インテリア」というのに対し、建物の外装・外観を何というでしょう？,世にも奇妙な物語（よにもきみょうなものがたり）
1421, 蓜島邦明作曲の『ガラモン・ソング』をメインテーマとし、タモリがストーリーテラーを務める、現在フジテレビで番組改編期に放送されているオムニバス形式のテレビドラマは何でしょう？,ベビーフェイス
1422, プロレスで、悪役を「ヒール」と呼ぶのに対し、善玉として振る舞うレスラーのことを、「童顔」を意味する英語で何というでしょう？,沖縄（おきなわ）
1423, 日本で唯一、一級河川がない都道府県はどこでしょう？,こそ
1424, 日本語の文語文法の「係助詞」のうち、唯一結びが已然形になるのは何でしょう？,土星（どせい）
1425, A環、B環、C環などの環を持ち、唯一比重が1.0を下回る太陽系の惑星といえば何でしょう？,ペケ
1426, その語源にはマレー語の「あっちへ行け」や中国語の「不可」などの説がある、不正解などを表すカタカナ2文字の言葉は何でしょう？,黄熱（おうねつ）
1427, 嘔吐物に血が混じり黒色になることから「黒吐病」という別名もある、ネッタイシマカにより媒介され、野口英世がこの研究中に感染して亡くなったことでも知られる感染症を一般に何というでしょう？,菅原道真（すがわらのみちざね）
1428, 894年に遣唐使の停止を提言した、停止当時の遣唐大使に任ぜられていた平安時代の政治家は誰でしょう？, 内視鏡（ないしきょう）
1429, 英語では「endoscope」といい、近年ではカプセル型のものもある、人体内に入れて映像を撮影するための医療機器を漢字3文字で何というでしょう？,シビリアン・コントロール
1430, 日本語では「文民統制」という、文民の政治家が軍隊の指揮権を持つ、民主主義における基本原則を英語で何というでしょう？,麦焼酎（むぎじょうちゅう）
1431, 主原料による焼酎の分類のうち、二階堂酒造の「二階堂」や三和酒類の「いいちこ」、玄海酒造の「壱岐」などがあるものといえば「何焼酎」でしょう？, 格納庫
1432, 自動車の保管場所を車庫といいますが、航空機をしまい入れて置く場所のことを日本語で一般に何というでしょう？,金字塔（きんじとう）
1433, 偉大な業績を残すことを、ピラミッドを指す言葉を使って「何を打ち立てる」というでしょう？,三重
1434, 日本の都道府県で、井村屋グループ、おやつカンパニー、赤福といった菓子メーカーが本社をおいているのはどこでしょう？,セリヌンティウス
1435, フィロストラトスという弟子がいる、太宰治の小説『走れメロス』でメロスの身代わりとして王の人質になる登場人物は誰でしょう？,FPS
1436, シューティングゲームの中でも特に、操作キャラクター本人の視界が画面に表示される一人称視点のゲームを総称して、アルファベット３文字の略語で何というでしょう？,品川駅
1437, 現在３駅ある東京都の新幹線停車駅のうち、新幹線が停車するようになったのが2003年と最も遅かった駅は何駅でしょう？,フラット
1438, 陸上競技や競泳競技で計測時間に秒以下の端数がないことを、「平坦」という意味の英語で何というでしょう,テクニカルタイムアウト
1439, バレーボールで、リードしているチームの得点が８点及び16点に達した時に自動的に取られるタイムアウトのことを、特に「何タイムアウト」というでしょう？, かぼす
1440, 全国の生産量の９割以上を大分県が占め、県を代表する柑橘類として親しまれている、焼き魚の薬味や鍋料理のポン酢などに利用されるミカン科の果実は何でしょう？,スプーン
1441, ゴルフクラブの３番ウッドのことを、そのヘッドの形状がある食器に似ていたことから何というでしょう？,マセキ
1442, 出川哲朗、狩野英孝、三四郎、バカリズム、ウッチャンナンチャンといったお笑い芸人が所属する芸能事務所は「何芸能社」でしょう？,鎬（しのぎ）
1443, 刀の刃と峰の間に一筋に走る稜線のことで、激しい争いをすることを慣用句で「これを削る」というのは何でしょう？,担々麺（たんたんめん）
1444, 元々は天秤棒で担いで売り歩いたことから名付けられた、四川料理を代表する辛みの強い麺料理は何でしょう？,B49  伸筋（しんきん）
1445, 関節を曲げる時に使われる筋肉を「屈筋」というのに対し、伸ばす時に使われる筋肉を何というでしょう？,星野仙一（ほしのせんいち）
1446, 監督として中日・阪神・楽天を率い、2013年には東北楽天ゴールデンイーグルスを日本一に導くなど名将として知られた元プロ野球選手は誰でしょう？,ノーマルヒル
1447, スキージャンプ台の区分のうち、ヒルサイズが85～109mで、ラージヒルより1区分小さいものを何と呼ぶでしょう？,山口（やまぐち）
1448, 日本の都道府県で、赤間硯、大内塗、萩焼などの伝統工芸品があるのはどこでしょう？,トビウオ
1449, 島根県の「県の魚」に指定されている、九州や山陰地方では「アゴ」とも呼ばれる魚は何でしょう？,徳川慶喜（とくがわよしのぶ）
1450, 江戸時代の将軍15人では最も長寿の満76歳まで生きた、安政の大獄での隠居謹慎処分や大政奉還の実現などで知られる第15代将軍は誰でしょう？,螺髪（らほつ）
1451, 奈良・東大寺の大仏には492個ある、右に渦巻く巻貝の形をした仏像の頭髪を何というでしょう,阿寒湖（あかんこ）
1452, 2005年にラムサール条約の登録湿地となった、マリモで有名な北海道の湖は何でしょう？,トキ
1453, 学名を「Nipponia nippon」という生き物の和名は何でしょう？,64
1454, 一般的に、将棋盤は81マスですが、チェスボードはいくつのマスがあるでしょう？,ミモザサラダ
1455, 野菜の上にゆで卵の黄身をみじん切りまたは裏ごしにしたものを散らしたサラダのことを、黄身の様子をある花に見立てて何サラダというでしょう？,奄美（あまみ）
1456, 日本で「大島」と名の付く島の中で最も面積が大きく、日本の離島全体の中でも佐渡島に次いで2番目に大きい、鹿児島県にある島のことを通称「何大島」というでしょう？,トラフ
1457," 相模、沖縄、南海といった名のものが日本近海に位置している、水深6,000m未満で細長い形の海底盆地のことを英語で何というでしょう？",血祭り（ちまつり）
1458, 古代中国での出陣の際の、神に生け贄の血を捧げる儀式に由来する慣用句で、相手を酷い目に合わせることを「何にあげる」というでしょう？,パトラッシュ
1459, アニメ『フランダースの犬』に登場する、主人公ネロの愛犬の名前は何でしょう？,ジュンク堂（じゅんくどう）
1460, 創業者の父親が「工藤淳」という名前だったことからその名がつけられた、現在は丸善CHIホールディングスの傘下にある大手書店チェーンのブランド名は「何書店」でしょう？,ポムポムプリン
1461, 茶色のベレー帽がトレードマークのゴールデンレトリバーの男の子という設定である、サンリオのキャラクターといえば何でしょう？,近藤勇（こんどういさみ）
1462, 1863年より新選組局長を務めたことで知られる、天然理心流の使い手であった幕末の武士は誰でしょう？,ヨハネ
1463, 『新約聖書』の4つの福音書とは、『マタイの福音書』『マルコの福音書』『ルカの福音書』と何の福音書でしょう？ ,ルーク
1464, チェスの駒で、クイーンとともにメジャーピースに数えられ、将棋の「飛車」と同じ動きをするのは何でしょう？,檸檬（れもん）
1465, 「えたいの知れない不吉な塊が私の心を始終圧えつけていた。」という書き出しで始まる、梶井基次郎の小説は何でしょう？,ピロシキ
1466, 小麦粉を練った生地でひき肉や卵などの具材を包み、油で揚げたりオーブンで焼いたりして作る、ロシア発祥の惣菜パンは何でしょう？,弔電（ちょうでん）
1467, お祝いの電報を「祝電」といいますが、葬儀の際などに送るお悔やみの電報を漢字2文字で何というでしょう？,黒鍵（こっけん）
1468, ショパンのピアノ練習曲作品10・第5番のことを、右手で演奏される主旋律が一曲を通じてほぼ白鍵を使わないことに由来する通称で「何のエチュード」というでしょう？,山口（やまぐち）
1469, 日本の都道府県で、内閣総理大臣経験者を最も多く輩出しているのはどこでしょう？,地球（ちきゅう）
1470, 太陽系の惑星のうち、最も密度が高い惑星は何でしょう？, ジェラートピケ
1471, 「アイスクリームの生地」という意味がある、ふわふわとした着心地で人気の、マッシュスタイルラボが運営するルームウェアブランドは何でしょう？,マルちゃん
1472, 東洋水産のブランド名にもなっている、同社の創業当初の屋号「マルト」にちなんで名付けられた笑顔のキャラクターといえば何でしょう？,五十円硬貨
1473, 現在日本で通常発行されている硬貨のうち、外径が一円硬貨に次いで2番目に小さいのはどの硬貨でしょう？,ジュラシック・パーク
1474, 1993年に公開され、1997年に映画『タイタニック』に更新されるまで世界歴代興行収入1位の記録を持っていた、マイケル・クライトン原作、スティーヴン・スピルバーグ監督の、恐竜をモチーフにした映画は何でしょう？,第五福竜丸（だいごふくりゅうまる）
1475, 1954年にビキニ環礁で米軍の水爆実験に巻き込まれて被爆した、日本のマグロ漁船の船名は何でしょう？,演繹（えんえき）
1476, 「帰納」の対義語にあたる二字熟語は何でしょう？,ビハインド
1477, 対戦形式の競技において、相手に後れをとることを、優勢であることを意味する「リード」に対して何というでしょう？,クインテット
1478, 複数の楽器による演奏形態で、四重奏は「カルテット」といいますが、五重奏は何というでしょう？,オカリナ
1479, 19世紀にイタリアのジュセッペ・ドナティの手によりほぼ現在の形となった、イタリア語で「小さなガチョウ」といった意味の名前を持つ笛の一種は何でしょう？,クーラー
1480, いざなぎ景気の時代に「3C」と称された3つの耐久消費財とは、カラーテレビ、カー（自動車）と、あと1つは何でしょう？,バックドラフト
1481, 気密性が高い場所での火災でドアや窓が開くなどした際に、酸素が一気に流れ込んで爆発的な炎上が起こるという現象を英語で何というでしょう？,キュー
1482, ビリヤードで、手玉を突くために用いる棒状の用具を何というでしょう？,鳥取（とっとり）
1483, 漫画家の谷口ジロー、青山剛昌が生まれ、水木しげるが育った地であることから「まんが王国」と称してキャンペーンを行っている都道府県はどこでしょう？,チキン南蛮（ちきんなんばん）
1484, 油で揚げた鶏肉を甘酢に漬けてタルタルソースをかけた、宮崎県延岡市を発祥とする鶏料理は何でしょう？,ユウガオ
1485, アサガオ、ヒルガオ、ユウガオ、ヨルガオの中で唯一ウリ科の植物は何でしょう？,イスラエル
1486, 「ダビデの星」と呼ばれる六芒星が国旗にデザインされている国はどこでしょう？,般若心経（はんにゃしんぎょう）
1487, 300字に満たない本文に大乗仏教の神髄が説かれているとされる、「色即是空」などの言葉が含まれている経典を一般に何と呼ぶでしょう？,栄転（えいてん）
1488, 「左遷」の対義語にあたる二字熟語は何でしょう？,JRA
1489, 正式名称を「日本中央競馬会」という競馬の主催団体を、アルファベット3文字の略称で何というでしょう？,プライベートブランド
1490, セブン&amp;アイの「セブンプレミアム」やイオンの「トップバリュ」などが代表的な、小売店や卸売業者が企画して独自のブランドで販売する商品のことを「何ブランド」というでしょう？,ルーフ
1491, エレベーターなどで屋上を表す「R」は何という英単語の略でしょう？,オーギュスト・ロダン
1492, 『青銅時代』『カレーの市民』『考える人』などの作品で知られる、フランスの彫刻家は誰でしょう？,斥力（せきりょく）
1493, 2つの物体が互いに引き付けあう力を引力というのに対し、互いに遠ざけようとする力を何というでしょう？,鬱（うつ）
1494, 常用漢字の中で、最も画数が多い29画の字は何でしょう？,QUO
1495, ラテン語の「～するところ」という言葉に由来する、全国のコンビニエンスストアなどで使用できるプリペイドカードを、アルファベット3文字で何カードというでしょう？,サルバドール・ダリ
1496, キャンディ菓子のチュッパチャプスのロゴのデザインや、『内乱の予感』『記憶の固執』などの絵画作品で知られる、シュルレアリスムを代表するスペインの画家は誰でしょう？,タウンページ
1497, かつては表紙が黄色で統一されていた、NTT東西2社が紙媒体で発行している業種別電話帳は何でしょう？,赤（あか）
1498, いわゆる「虹の七色」のうち、最も光の波長が長い色は何でしょう？,特殊撮影（とくしゅさつえい）
1499, 特撮映画などという時の「特撮」とは、何という言葉の略でしょう？,ウコン
1500, 英語では「ターメリック」と呼ばれる、カレー粉などのスパイスとして用いられる植物を日本語で一般に何というでしょう？,トリノ
1501, 1959年の第1回夏季ユニバーシアードや、2006年の冬季オリンピックの開催地として知られるイタリア北部の都市はどこでしょう？,平塚らいてう
1502, 女性文芸誌『青鞜』の創刊号に寄せた「元始、女性は実に太陽であった。」という言葉で知られる、市川房枝らとともに新婦人協会を設立した女性解放運動家は誰でしょう？ ,浅草寺（せんそうじ）
1503, 山門は「雷門」と呼ばれ観光名所となっている、東京都台東区浅草にある寺院の名称は何でしょう？,ポルトガル
1504, 漢字では「ぶどう」と「きば」を表す字を使って表記する、首都をリスボンに置くヨーロッパの国はどこでしょう？,男はつらいよ（おとこはつらいよ）
1505, 1969年から1995年にかけて48作品が製作された、渥美清が演じる「フーテンの寅さん」を主人公とする山田洋次監督の映画シリーズは何でしょう？,百年戦争（ひゃくねんせんそう）
1506,現在のフランスとイギリスの国境線を決めることとなった、14世紀から15世紀にかけて起こり、ジャンヌ・ダルクが活躍したフランス王国とイングランド王国の戦争は「何戦争」でしょう？,淀（よど）
1507, 本名の「茶々」としても知られる、浅井長政を父に、織田信長の妹・市を母に持ち、豊臣秀吉の側室となって嫡男・秀頼を産んだ女性を一般に「何殿」と呼ぶでしょう？,ぶどう
1508, 新潮文庫のシンボルマークとして、表紙に印刷されている果物は何でしょう？,川嶋あい（かわしまあい）
1509, 卒業ソングとして人気の『旅立ちの日に…』や『My Love』『compass』などの代表曲がある、かつて音楽ユニット・I WiSHのボーカルとして「ai」の名義でも活動していた福岡県出身のシンガーソングライターは誰でしょう？,APEC
1510, 1989年に設立された「アジア太平洋経済協力」を、アルファベット4文字の略称で何というでしょう？,鞭毛（べんもう）
1511, クラミドモナスやミドリムシに見られる、推進力を生み出す毛状の細胞小器官のことを日本語で何というでしょう？, ニュートラル
1512, ボクシングのリングで、赤コーナーでも青コーナーでもない角を、「中立の」という意味の英語から何コーナーというでしょう？,エレファントカシマシ
1513, 『俺たちの明日』『悲しみの果て』『今宵の月のように』などの曲で知られる、宮本浩次をボーカルとする4人組ロックバンドは何でしょう？,厚生労働省（こうせいろうどうしょう）
1514, 日本の中央省庁で、幼稚園を管轄しているのは文部科学省ですが、保育園を管轄しているのは何省でしょう？,テクニカルタイムアウト
1515, バレーボールで、リードしているチームの得点が8点及び16点に達した時に自動的に取られるタイムアウトのことを、特に「何タイムアウト」というでしょう？,レールガン
1516, アメリカ海軍では艦載兵器として開発が進められている、ローレンツ力によって砲弾を撃ち出す装置で、アニメ『とある科学の超電磁砲』では主人公・御坂美琴の通り名にもなっている次世代兵器は何でしょう？,人間国宝（にんげんこくほう）
1517, 日本の文化財保護法第71条第2項に基づいて、文部科学大臣が指定した重要無形文化財の保持者のことを通称で何と呼ぶでしょう？, ヘルシンキ
1518, 世界最北の地下鉄が走ることで知られる、フィンランドの首都はどこでしょう？,西陣（にしじん）
1519, 応仁の乱で山名宗全らが陣を構えたことからその名が付けられた、高級織物の生産地として知られる京都市の地域はどこでしょう？,草間彌生（くさまやよい）
1520, 1960年代には「前衛の女王」の異名をとった、統合失調症による幻覚や幻聴から絵画や彫刻を制作する、水玉模様のモチーフで知られる日本の芸術家は誰でしょう？,シルクハット
1521, 元々はビーバーの毛皮を用いて作られた、モーニングコート着用時に被る、つばの付いた円筒状の紳士帽子を何というでしょう？,ブルース・リー
1522, 香港の観光名所アベニュー・オブ・スターズにはこの人物の銅像がある、『ドラゴン危機一発』や『燃えよドラゴン』などに主演し、世界的なカンフーブームの立役者となった香港のアクションスターは誰でしょう？,チェッカー
1523, 自動車レースでマシンが規定回数を走り終えた時に振られる市松模様の旗を英語で何フラッグというでしょう？,モンゴル
1524, 国連加盟国のうち最も人口密度が低い、首都をウランバートルに置く国はどこでしょう？,99
1525, 100人でトーナメント戦をした時、優勝者が決まるまでの全試合数はいくつでしょう？,源義経（みなもとのよしつね）
1526, 源義朝の九男で幼名を「牛若丸」という、一ノ谷や壇ノ浦の戦いで活躍した、源頼朝の弟は誰でしょう？,森泉（もりいずみ）
1527, 『1番だけが知っている』『おしゃれイズム』などのテレビ番組で司会を務めている、祖母にファッションデザイナー・森英恵を持つタレント・モデルは誰でしょう？,シンデレラ
1528, オレンジ、レモン、パイナップルのジュースを混ぜ合わせたノンアルコールカクテルを、ディズニープリンセスでもある童話の主人公の名前から何と呼ぶでしょう？,グリーンクリスマス
1529, 積雪のある「ホワイトクリスマス」に対して、積雪のないクリスマスのことを、ある色を使って「何クリスマス」というでしょう？,サイ・ヤング
1530, アメリカのMLBで勝利数511勝、敗戦数316敗がともに歴代最多記録である投手で、MLB両リーグでその年に最も活躍した投手に贈られる賞に名を残す人物は誰でしょう？,フーリガン
1531, 元々は「乱暴者」や「無法者」を意味し、現在ではサッカーの試合に乗じて競技場の内外で暴力行為や破壊行為を行う暴徒を指す言葉は何でしょう？,示準化石（しじゅんかせき）
1532, フズリナ、三葉虫、アンモナイトなどのように、地層が堆積した年代を推定するのに役立つ化石のことを何化石というでしょう？,25
1533, 公職選挙法において、衆議院議員や市町村長の被選挙権が与えられているのは満何歳以上の日本国民でしょう？,ぶた
1534, ポーカーでは役が無いこと、オイチョカブでは末尾が0になることを意味する、ある動物の名前は何でしょう？,北海道（ほっかいどう）
1535, 定山渓温泉、層雲峡温泉、登別温泉といえば、どこの都道府県にある温泉地でしょう？,五平（ごへい）
1536, 潰して楕円形や団子型に成型したうるち米を串に刺し、味噌や醤油のタレを漬けて焼き上げた、中部地方に伝わる郷土料理を何餅というでしょう？,シュールストレミング
1537, ニシンを塩水につけて缶詰にすることで作られ、発酵してガスが溜まり缶が破裂する恐れがあることから原則的に空輸が禁止されている、「世界一臭い食べ物」として知られているスウェーデン特産の食べ物は何でしょう？,近松門左衛門（ちかまつもんざえもん）
1538, 本名を杉森信盛といい、代表作に『女殺油地獄』や『曽根崎心中』がある、江戸時代に浄瑠璃や歌舞伎の脚本を多く手掛けた作家は誰でしょう？,マイクロフォン
1539, 「マイクで話す」といった時の「マイク」とは、何という言葉の略でしょう？,袂（たもと）
1540, それまで行動をともにした人と別れることを、和服のある部分の名前を使って「何を分かつ」というでしょう？,肝臓（かんぞう）
1541, 人体において、胆汁の生成を行う臓器はどこでしょう？,民法（みんぽう）
1542, 日本の主要な6つの法典「六法」のうち、最も条文数が多いのは何でしょう？,玉（ぎょく）
1543, 「天に二日なく、地に二王なし」との考え方から、上位の者が王の駒を使うのに対して下位の者が使うことが慣例となっている、将棋で王とまったく同じ役割を持つ駒は何でしょう？,ハーバード
1544, 1636年にマサチューセッツ州ケンブリッジにて創立された、アメリカ最古の大学は何大学でしょう？,森鴎外（もりおうがい）
1545, 陸軍軍医として日清戦争や日露戦争に従軍し、最高位である軍医総監も務めたことがある、代表作に『山椒大夫』『高瀬舟』『舞姫』などがある作家は誰でしょう？,留萌（るもい）
1546, 日本の市で唯一、名前が「る」から始まるのは何市でしょう？,不凍港（ふとうこう）
1547, ロシアのムルマンスクやノルウェーのナルヴィクなどに代表される、高緯度にありながら冬でも海面が凍結しない港のことを漢字3文字で何というでしょう？,ちりとり鍋
1548, 大阪のコリアタウンで生まれたといわれる、浅く四角い鍋で牛肉やホルモン、野菜などを煮込む鍋料理を、その鍋の形をある掃除道具に見立てて「何鍋」というでしょう？,用心棒（ようじんぼう）
1549, 元々は家の戸締りのために引き戸の後ろにつっかける棒のことを指した、誰かに雇われて大切な人を守る人物のことを漢字3文字で何というでしょう？,５
1550, 五角形の対角線は全部で何本あるでしょう？,酒（さけ）
1551,問題B154「天之美禄」「忘憂之物」「百薬之長」といえば、すべて何の別称でしょう？,アグリ
1552, 穀物メジャーなどが行っているような、農作物に関する経済活動のことを、「農業」を意味する英単語から何ビジネスというでしょう？,８
1553, 一般的に、情報量の単位「1バイト」は何ビットでしょう？,アプローチ
1554, 道路に面した門から玄関までの通路のことを、「～に接近する」という意味の英語で一般に何というでしょう？,ハイエナ
1555, 別名を「タテガミイヌ」という、アラビア半島やアフリカに生息する肉食動物で、強欲に振る舞う人や利益を横取りする人のことを表す比喩表現としても使われるものといえば何でしょう？,マンボウ
1556, 地方では「ウキギ」「キナンボ」「ウオノタユウ」などとも呼ばれ、英語では「オーシャン・サンフィッシュ」と呼ばれる、1度に最大3億個もの卵を産むことでも知られる魚の一種を一般に何と呼ぶでしょう？,熱帯（ねったい）
1557, ケッペンの気候区分で記号「A」で表される、主に赤道付近に分布する気候区分を何というでしょう？,クコ
1558, 薬用酒の材料や杏仁豆腐のトッピングなどとして使われる赤い果実をつける、別名を「ゴジベリー」「ウルフベリー」などというナス科の植物を一般に何というでしょう？,チルド
1559, 摂氏0度前後の凍らない程度の温度で販売される食品のことを、「冷やされた」という意味の英語を使って何食品というでしょう？,ゴキブリ
1560, 平安時代では「阿久多牟之」、江戸時代では「油虫」と呼ばれていた記録がある、クロ、ワモン、チャバネなどの種類がある昆虫は何でしょう？,田中真弓（たなかまゆみ）
1561, 『ドラゴンボール』のクリリン、『天空の城ラピュタ』のパズー、『ONE PIECE』のルフィといったアニメキャラクターを演じた、青二プロダクション所属の声優は誰でしょう？,JRA
1562, 正式名称を「日本中央競馬会」という競馬の主催団体を、アルファベット3文字の略称で何というでしょう？,慶應義塾（けいおうぎじゅく）
1563, 東京六大学のうち、大学名に日本の元号が使われているのは明治大学と何大学でしょう？,エアロビクス
1564, アメリカのケネス・クーパーによって提唱された、日本語では「有酸素運動」というエクササイズを何というでしょう？,チェスボクシング
1565, 1992年に漫画家のエンキ・ビラルが考案した、チェスを4分間、ボクシングを2分間交互に繰り返し、チェックメイトもしくはノックアウトで決着するスポーツは何でしょう？,アロエ
1566, 日本語では「蘆薈」とも呼ばれ、「医者いらず」という異名を持つ種類もある、ツルボラン亜科の多肉植物は何でしょう,ユリカモメ
1567, 東京都の「都民の鳥」であり、東京臨海新交通臨海線の愛称にもなっているカモメ科の鳥は何でしょう？,鶯張り（うぐいすばり）
1568, 京都の知恩院や二条城のものが有名である、人が歩くと床板がきしんで音が鳴る廊下のつくりのことを、その音がある鳥の鳴き声に似ているというところから何というでしょう？,スイス
1569, ドイツ、フランス、イタリア、オーストリア、リヒテンシュタインの5ヶ国に囲まれた内陸国である、ヨーロッパの国はどこでしょう？,コロンブス
1570, 簡単なことでも初めて行うのは難しいということを、イタリアの航海者の名前を使って「何の卵」というでしょう？,彼岸（ひがん）
1571, 慣用句で、残暑も余寒もある時期まで来ると和らぐということを「暑さ寒さも何まで」というでしょう？,体脂肪率（たいしぼうりつ）
1572, 空気置換法、水中体重測定法、生体インピーダンス法などの測定法がある、全体重に占める脂肪の重量の割合のことを何というでしょう？,蒙古斑（もうこはん）
1573, 特にアジア系の幼児に多く見られ、5歳頃までにほとんど消えてしまう、臀部周辺に発生する青いアザのことを一般に何というでしょう？,NSC
1574, 正式名称を「吉本総合芸能学院」といい、ダウンタウンをはじめ多くのお笑い芸人を輩出している、吉本興業が運営するタレント養成所をアルファベット3文字の略称で何というでしょう？,アラスカ州
1575, アメリカ50州の1つで、コールドフット、フェアバンクスといったオーロラ観光が盛んな都市があるのは何州でしょう？,シフォンケーキ
1576, ハリー・ベイカーによって考案され、その食感が絹のように軽く柔らかいことから名が付いたスポンジケーキの一種は何でしょう？,マネーロンダリング
1577, 日本語では「資金洗浄」と呼ばれる行為で、犯罪により得た資金を、口座間の出入金や投資などの合法的手段を通じて出所を分からなくすることを英語で何というでしょう？,那智の滝（なちのたき）
1578, 華厳の滝、袋田の滝とともに日本三名瀑に数えられる、和歌山県にある滝は「何の滝」でしょう？,カムパネルラ
1579, 宮沢賢治の小説『銀河鉄道の夜』で、主人公のジョバンニとともに銀河鉄道に乗り込み旅をする友人の名前は何でしょう？,蜻蛉切（とんぼきり）
1580, 御手杵、日本号とともに天下三名槍に数えられる、飛んできた虫が当たっただけで切れたことからその虫の名が付いたという、本多忠勝の愛槍の名前は何でしょう？,オイキムチ
1581, 韓国料理のキムチの中でも、特にキュウリを使ったものを何キムチというでしょう？,厚生労働省（こうせいろうどうしょう）
1582, 日本の中央省庁のうち、麻薬取締部を設置しているのは何省でしょう？,テレマーク
1583, スキージャンプにおいて、着地姿勢の理想とされる両腕を水平にして両足を前後に開いた姿勢を、競技発祥の地にちなんで何というでしょう？,ダフ
1584, ゴルフで、ショットした時にボールを正確にとらえられず、クラブで手前の地面を叩いてしまうことを英語で何というでしょう？,黒
1585, オリンピックシンボルの5つの輪のうち、中央の輪の色は何色でしょう？, 租（そ）
1586, 律令時代の日本の租税制度「租庸調」のうち、男女ともに課せられていた税は何でしょう？,ティンパニ
1587, 英語では「ケトルドラム」などという、音程の異なる複数台を1組としてオーケストラなどで使用される打楽器を一般に何というでしょう？,オリオン
1588, アルニタク、アルニラム、ミンタカ、リゲル、ベテルギウスなどの星で構成されている星座といえば何でしょう？,サンボマスター
1589, ベースの近藤洋一、ドラムの木内泰史、ボーカル・ギターの山口隆の3人からなる、『できっこないをやらなくちゃ』『青春狂騒曲』『世界はそれを愛と呼ぶんだぜ』などのヒット曲で知られるバンドは何でしょう？,セカンド
1590, 野球のベースのうち「キーストーン」という別名を持つのはどのベースでしょう？,インターセプト
